kode,string
1,Total PDRB dari semua jenis adalah 37872390169.570724 rupiah
2,Jenis PDRB paling banyak berasal dari produksi
3,Jenis PDRB paling sedikit berasal dari pendapatan
4,"PDRB di seluruh Indonesia berasal dari 3 jenis, yaitu produksi, pengeluaran, pendapatan"
5,Total PDRB yang berasal dari pendapatan adalah 12645817838.407930 rupiah
6,Total PDRB yang berasal dari pengeluaran adalah 12580754492.754866 rupiah
7,Total PDRB yang berasal dari produksi adalah 12645817838.407930 rupiah
8,"PDRB jenis pendapatan berasal dari 3 komponen, yaitu Kompensasi Tenaga Kerja, Surplus Usaha (termasuk pendapatan campuran) Bruto, Pajak Neto Subsidi Atas Produksi"
9,"PDRB jenis pengeluaran berasal dari 5 komponen, yaitu Konsumsi Rumah Tangga, Konsumsi LNPRT, Konsumsi Pemerintah, Pembentukan Modal Tetap Bruto, Perubahan Inventori"
10,"PDRB jenis produksi berasal dari 52 komponen, yaitu Pertanian Tanaman Pangan , Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya, Perkebunan Semusim dan Tahunan, Peternakan , Jasa Pertanian dan Perburuan  , Kehutanan dan Penebangan Kayu, Perikanan , Pertambangan Minyak, Gas dan Panas Bumi, Pertambangan Batubara dan Lignit, Pertambangan Bijih Logam, Pertambangan dan Penggalian Lainnya, Industri Batubara dan Pengilangan Migas, Industri Makanan dan Minuman , Industri Pengolahan Tembakau, Industri Tekstil dan Pakaian Jadi, Industri Kulit, Barang dari Kulit dan Alas Kaki , Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya , Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman , Industri Kimia, Farmasi dan Obat Tradisional, Industri Karet, Barang dari Karet dan Plastik, Industri Barang Galian bukan Logam, Industri Logam Dasar , Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik, Industri Mesin dan Perlengkapan YTDL, Industri Alat Angkutan, Industri Furnitur, Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan, Ketenagalistrikan , Pengadaan Gas dan Produksi Es, Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang, Konstruksi, Perdagangan Mobil, Sepeda Motor dan Reparasinya, Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor, Angkutan Rel , Angkutan Darat, Angkutan Laut , Angkutan Sungai Danau dan Penyeberangan, Angkutan Udara, Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir, Penyediaan Akomodasi , Penyediaan Makan Minum, Jasa Informasi dan Komunikasi, Jasa Perantara Keuangan Selain Bank Sentral, Asuransi dan Dana Pensiun, Jasa Keuangan Lainnya, Jasa Penunjang Keuangan, Real Estate, Jasa Perusahaan, Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib, Jasa Pendidikan, Jasa Kesehatan dan Kegiatan Sosial, Jasa Lainnya"
11,"PDRB jenis pendapatan berasal dari komponen kode 2010, 2020, 2045"
12,"PDRB jenis pengeluaran berasal dari komponen kode 3011, 3012, 3020, 3030, 3041"
13,"PDRB jenis produksi berasal dari komponen kode I-01, I-02, I-03, I-04, I-05, I-06, I-07, I-08, I-09, I-10, I-11, I-12, I-13, I-14, I-15, I-16, I-17, I-18, I-19, I-20, I-21, I-22, I-23, I-24, I-25, I-26, I-27, I-28, I-29, I-30, I-31, I-32, I-33, I-34, I-35, I-36, I-37, I-38, I-39, I-40, I-41, I-42, I-43, I-44, I-45, I-46, I-47, I-48, I-49, I-50, I-51, I-52"
14,"PDRB jenis pendapatan menyumbang PDRB ke 34 Provinsi, yaitu Aceh, Sumatera Utara, Sumatera Barat, Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kep. Bangka Belitung, Kep. Riau, DKI Jakarta, Jawa Barat, Jawa Tengah, DI Yogyakarta, Jawa Timur, Banten, Bali, Nusa Tenggara Barat, Nusa Tenggara Timur, Kalimantan Barat, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Timur, Kalimantan Utara, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua Barat, Papua"
15,"PDRB jenis pengeluaran menyumbang PDRB ke 34 Provinsi, yaitu Aceh, Sumatera Utara, Sumatera Barat, Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kep. Bangka Belitung, Kep. Riau, DKI Jakarta, Jawa Barat, Jawa Tengah, DI Yogyakarta, Jawa Timur, Banten, Bali, Nusa Tenggara Barat, Nusa Tenggara Timur, Kalimantan Barat, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Timur, Kalimantan Utara, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua Barat, Papua"
